id	class	method	parent	flags	annotations	visibility	non-primitive-return	path
1	org.apache.cxf.bus.extension.Extension	Extension()	0	[]		public	false	/var/benchmakrs/cxf/core/src/main/java/org/apache/cxf/bus/extension/Extension.java
2	org.apache.cxf.bus.extension.Extension	Extension(java.lang.Class,java.lang.Class)	0	[false, false]		public	false	/var/benchmakrs/cxf/core/src/main/java/org/apache/cxf/bus/extension/Extension.java
3	org.apache.cxf.bus.extension.Extension	Extension(java.lang.Class)	0	[false]		public	false	/var/benchmakrs/cxf/core/src/main/java/org/apache/cxf/bus/extension/Extension.java
4	org.apache.cxf.bus.extension.Extension	Extension(java.lang.ClassLoader)	0	[false]		public	false	/var/benchmakrs/cxf/core/src/main/java/org/apache/cxf/bus/extension/Extension.java
5	org.apache.cxf.bus.extension.Extension	Extension(org.apache.cxf.bus.extension.Extension)	0	[false]		public	false	/var/benchmakrs/cxf/core/src/main/java/org/apache/cxf/bus/extension/Extension.java
6	org.apache.cxf.bus.extension.Extension	setOptional(boolean)	0	[false]		public	false	/var/benchmakrs/cxf/core/src/main/java/org/apache/cxf/bus/extension/Extension.java
7	org.apache.cxf.bus.extension.Extension	isOptional()	0	[]		public	false	/var/benchmakrs/cxf/core/src/main/java/org/apache/cxf/bus/extension/Extension.java
8	org.apache.cxf.bus.extension.Extension	getName()	0	[]		public	true	/var/benchmakrs/cxf/core/src/main/java/org/apache/cxf/bus/extension/Extension.java
9	org.apache.cxf.bus.extension.Extension	getLoadedObject()	0	[]		public	true	/var/benchmakrs/cxf/core/src/main/java/org/apache/cxf/bus/extension/Extension.java
10	org.apache.cxf.bus.extension.Extension	cloneNoObject()	0	[]		public	true	/var/benchmakrs/cxf/core/src/main/java/org/apache/cxf/bus/extension/Extension.java
11	org.apache.cxf.bus.extension.Extension	toString()	12	[]		public	true	/var/benchmakrs/cxf/core/src/main/java/org/apache/cxf/bus/extension/Extension.java
13	org.apache.cxf.bus.extension.Extension	getClassname()	0	[]		public	true	/var/benchmakrs/cxf/core/src/main/java/org/apache/cxf/bus/extension/Extension.java
14	org.apache.cxf.bus.extension.Extension	setClassname(java.lang.String)	0	[false]		public	false	/var/benchmakrs/cxf/core/src/main/java/org/apache/cxf/bus/extension/Extension.java
15	org.apache.cxf.bus.extension.Extension	getInterfaceName()	0	[]		public	true	/var/benchmakrs/cxf/core/src/main/java/org/apache/cxf/bus/extension/Extension.java
